"ARPT_ID","ARPT_NAME","x","y"
"2AZ4","MILLAR",-112.145700550171,33.0536605498905
"AZ43","HIDDEN VALLEY",-112.173611109929,33.0541666603203
"2AZ9","ETHNOS AIR",-109.651458329682,31.6023177698433
"L25","PEARCE FERRY",-114.046722220249,36.093222219995
"FFZ","FALCON FLD",-111.728325269626,33.4608405502177
"0AZ4","FLYING BUCKET RANCH",-112.287092769879,32.9822702703077
"5AZ6","MOTOWN",-112.259444440031,32.9250000000232
"1AZ0","BISHOP AIRFIELD",-112.269166660212,33.1119444398569
"45AZ","WILLOW VALLEY",-114.580077769909,34.9133055497001
"0AZ5","CASTLE WELL",-112.603368329973,33.8658658301134
"12AZ","RANTA STRIP",-112.653230270235,33.8539211099263
"AZ32","ROESNER RANCH",-112.587950830416,33.8475327700697
"AZ28","THUNDER RIDGE AIRPARK",-112.573116659973,33.8215027700276
"OLS","NOGALES INTL",-110.847888879722,31.4177222202486
"AZ82","MOGOLLON AIRPARK",-110.529845830408,34.3972602697615
"44AZ","SANDHILL RANCH",-111.969621379665,36.9319300002826
"PGA","PAGE MUNI",-111.448350550213,36.9260694397013
"AZ26","EVELYN FLD",-110.124999999917,31.3691666602579
"P20","AVI SUQUILLA",-114.267833329585,34.1498333303286
"AZ57","PILOTS REST",-112.512500000196,34.9308333302144
"AZ09","BIG CHINO AIRSTRIP",-112.674457770318,35.0278442498932
"PAN","PAYSON",-111.339255830021,34.2568363798257
"1G4","GRAND CANYON WEST",-113.816916660434,35.986111110362
"L37","GRAND CANYON CAVERNS",-113.247502770303,35.5272347203565
"3AZ5","HUALAPAI",-113.292429999707,35.5722144398473
"7AZ4","RANCHO RELAXO",-109.588333330187,31.9386111101948
"DVT","PHOENIX DEER VALLEY",-112.082555549687,33.6883055503634
"A39","AK-CHIN RGNL",-111.918901380322,32.9905486097436
"IWA","PHOENIX-MESA GATEWAY",-111.655459160176,33.3078238800896
"PHX","PHOENIX SKY HARBOR INTL",-112.011583329605,33.434277770234
"E37","FLYING J RANCH",-109.881748049993,32.8478433302205
"P10","POLACCA",-110.423388880097,35.791611110274
"25AZ","MYSTERY WELL RANCH",-109.057280549774,31.8159472197239
"8AZ5","LIZZY LIZARD",-109.056916660219,31.8979444397482
"PRC","PRESCOTT RGNL - ERNEST A LOVE FLD",-112.419222219944,34.6548333302009
"AZ46","MORGAN RANCH AIRSTRIP",-112.549060830388,34.7664111102146
"AZ27","BIG SPRINGS RANCH",-112.534061940364,34.9100191602958
"5AZ3","PEGASUS AIRPARK",-111.617240269938,33.2087250003129
"AZ63","TWIN HAWKS AIRPARK",-111.195833329737,32.5277777698922
"48AZ","RIMROCK",-111.788206379865,34.6508555500272
"50AZ","ROCKY RIDGE",-110.588193050231,36.059722219645
"88AZ","GRAPEVINE AIRSTRIP",-111.056916660339,33.6409083303456
"SAD","SAFFORD RGNL",-109.635081939644,32.853341109893
"09AZ","STRONGHOLD",-110.038166659851,31.9253333298557
"SJN","ST JOHNS INDUSTRIAL AIR PARK",-109.378749999957,34.518555549792
"2AZ1","INDIAN HILLS AIRPARK",-113.615484720347,33.759197499639
"0AZ2","WESTERN SKY AIRPARK",-113.641666660089,33.778055549694
"AZ40","SHEEPY HOLLOW RANCH",-113.642416659926,33.7874166597277
"44A","ROLLE AIRFIELD",-114.698388879726,32.5163055497787
"E77","SAN MANUEL",-110.647287660287,32.6364402702281
"SDL","SCOTTSDALE",-111.910527770333,33.6228888800387
"SEZ","SEDONA",-111.788447500264,34.8485891600237
"P23","SELIGMAN",-112.886497220299,35.3350749998841
"52AZ","X-1 RANCH UPPER HEADQUARTERS",-113.300761379894,35.3833319397865
"E78","SELLS",-111.894250000043,31.9325833296868
"SOW","SHOW LOW RGNL",-110.005662500209,34.2654716596357
"21AZ","WHITE MOUNTAIN LAKE",-109.970110000177,34.3522619400362
"1AZ6","SKYLINE AIR RANCH",-110.110833329833,31.5566666601285
"16AZ","YAV'PE MA'TA",-112.679898609974,34.5089133303316
"3AZ8","HIGH MESA AIRPARK",-109.653411659673,32.7622891597717
"54AZ","SOMERTON",-114.667997219866,32.6036361097674
"AZ25","TRI-ROTOR AG SERVICES",-114.678947219649,32.5570500003675
"JTC","SPRINGERVILLE MUNI",-109.310861109646,34.1294166600359
"55AZ","POTTERS FLD",-111.959858049882,32.8739419400292
"AZ61","G M RANCH",-112.237922500046,32.9017161101172
"5AZ7","CARRANZA FARM AIRSTRIP",-111.949999999937,32.8472222197095
"E81","SUPERIOR MUNI",-111.12706500044,33.2778338797411
"TYL","TAYLOR",-110.115034719874,34.452732220308
"U30","TEMPLE BAR",-114.334916660157,36.0204444397875
"P29","TOMBSTONE MUNI",-110.021515270352,31.6713125002482
"56AZ","MAULDIN AIRSTRIP",-113.00212750039,33.481983330028
"AZ85","TONOPAH",-112.960180829895,33.533926940128
"99AZ","EAGLETAIL RANCH",-113.223055550139,33.3955555498207
"T03","TUBA CITY",-111.383083330176,36.0926388799148
"74AZ","RANCHO SAN MARCOS",-110.047361109922,31.6196111101658
"6AZ8","FLYING DIAMOND",-111.120277770328,31.9411111099256
"AVQ","MARANA RGNL",-111.218388880271,32.4095555500579
"TUS","TUCSON INTL",-110.941462800387,32.117068189747
"DMA","DAVIS MONTHAN AFB",-110.883169689686,32.1663644100362
"57AZ","LA CHOLLA AIRPARK",-111.001769800106,32.4480616100709
"RYN","RYAN FLD",-111.174579159572,32.1422111100538
"AZ06","DUSTY WINGS FLD",-113.938600000014,32.7863361103767
"AZ60","CURRY RIDGE",-113.938305049868,32.7234330799486
"AZ01","OUTBACK RANCH AIRSTRIP",-113.570277769937,33.8477777698068
"AZ50","TRIANGLE AIRPARK",-114.479999999875,35.7163888799049
"04AZ","WHITE HILLS",-114.450538879664,35.7217763796834
"E24","WHITERIVER",-109.985743610137,33.8106083300982
"1Z1","GRAND CANYON BAR TEN AIRSTRIP",-113.230888880078,36.2564999999127
"23AZ","MORETON AIRPARK",-112.825735830252,34.019472770152
"AZ64","RIO VISTA HILLS",-112.686564999613,33.9522527700915
"E25","WICKENBURG MUNI",-112.795089799842,33.9706293298712
"AZ14","AMMON",-109.959722219998,32.0247222203656
"93AZ","INDE MOTORSPORTS RANCH",-110.007819439648,32.2246527697076
"4AZ9","LEROY",-109.76166665989,32.1130555498597
"P33","COCHISE COUNTY",-109.89463887971,32.2454166596514
"CMR","H A CLARK MEML FLD",-112.194347769642,35.3054936100542
"RQE","WINDOW ROCK",-109.067388880238,35.6520555496587
"INW","WINSLOW-LINDBERGH RGNL",-110.7225157703,35.0219097203271
"24AZ","PLEASANT VALLEY AIRSTRIP",-110.935402499579,34.1580975001343
"58AZ","CHAPMAN RANCH AIRSTRIP",-110.932777769643,34.0936111096918
"AZ34","MASSEY FARM",-114.09773888013,34.6914277703131
"NYL","YUMA MCAS/YUMA INTL",-114.605987220082,32.6565738799426
"LGF","LAGUNA AAF (YUMA PROVING GROUND)",-114.392974999751,32.8645805502249
"M73","ALMYRA MUNI",-91.465305550205,34.4124794398422
"54AR","WINFIELD AIRPARK",-93.7587055503371,35.3928555501296
"ADF","DEXTER B FLORENCE MEML FLD",-93.0660833298207,34.0998055499376
"41AR","ASHWORTH",-93.349722219785,34.1233333303303
"08AR","GARRISON",-94.1452777695715,33.7236111100618
"CVK","SHARP COUNTY RGNL",-91.5626666603104,36.2648888803305
"M60","WOODRUFF COUNTY",-91.2703305503615,35.2719055502764
"M74","BALD KNOB MUNI",-91.557694440297,35.2994722202692
"BVX","BATESVILLE RGNL",-91.6474444403087,35.7262222200118
"1AR0","BRECKENRIDGE",-91.1293749999167,35.4007249997504
"25AR","CEDAR CREEK RANCH",-93.4751872196738,35.1334225001708
"58AR","SUGAR CREEK",-94.1735416600868,36.4056805503088
"SUZ","SALINE COUNTY RGNL",-92.4794444399494,34.590388880284
"VBT","BENTONVILLE MUNI/LOUISE M THADEN FLD",-94.2195033300832,36.3453352700429
"4M1","CARROLL COUNTY",-93.6245402699036,36.3813419403349
"17A","TRIGGER GAP",-93.6222138803544,36.3282499997013
"AR13","PEARSON FLD",-92.6334958300321,34.9861986098043
"2AR8","HICKMAN",-90.3704138800091,35.8311055499259
"BYH","ARKANSAS INTL",-89.9439444400064,35.9643333299219
"HKA","BLYTHEVILLE MUNI",-89.8308055502194,35.9404166597893
"4M2","BOONEVILLE MUNI",-93.8633895496705,35.1495263298718
"15AR","TAYLOR",-90.5433333298092,34.8258611103288
"9AR1","CATLETT FARMS",-93.5172222197143,34.9334722197708
"M36","FRANK FEDERER MEML",-91.176444439982,34.8802777700056
"62AR","BANKS RANCH",-93.8692833297743,36.464813880286
"12XS","MC CROSKEY FLD",-91.8379249999025,34.9547000002109
"3AR3","CYPRESS CREEK",-92.0820138796339,35.059580550314
"4AR1","SHURLEY FLD",-92.1010166596945,35.0412666601382
"4AR2","RED OAK",-92.0069756896416,34.9104527697924
"73AR","DOGWOOD",-92.0537416599393,35.0485222201748
"37T","CALICO ROCK-IZARD COUNTY",-92.1444722195927,36.1645277697311
"CDH","HARRELL FLD",-92.7633888801795,33.6228055497652
"RBM","ROBINSON AAF (CAMP ROBINSON)",-92.3001416596567,34.8469236096483
"4M3","CARLISLE MUNI",-91.7121111096288,34.8082222197513
"9AR9","OVER THE TOP AVIATION",-90.907991969646,35.8269739101395
"6AR1","ELDER AIRSTRIP",-94.1966000003802,36.2779083301391
"2AR5","ASHMORE FLD",-94.2938888796486,36.3830555503154
"AR03","CENTERVILLE AIRSTRIP",-93.2031361099877,35.1226805499645
"28AR","HENLEY AERODROME",-91.4333333297552,35.83333332986
"AR05","JOHN HARRIS FLD",-93.3048999998445,35.2159194401442
"4M8","CLARENDON MUNI",-91.3947205498245,34.6466688799189
"H35","CLARKSVILLE MUNI",-93.4271572200583,35.4706780501141
"CCA","CLINTON MUNI",-92.451583329753,35.5977500001612
"2A2","HOLLEY MOUNTAIN AIRPARK",-92.4038129396613,35.6507190200619
"DRP","DELTA RGNL",-90.8265013803938,35.1200522200443
"7AR3","RUNSICK FLYING SERVICE",-90.8155555496923,35.1511111100429
